Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Receiving FED_ID, NO REACTOR, -1, 1, -1702260913694568885, 0, -1000239000, NO TRIGGER, 0, 0, 1173, 0
Sending ACK, NO REACTOR, -1, 1, -1702260913694568885, 0, -1000234670, NO TRIGGER, 0, 0, 1238, 0
Receiving TIMESTAMP, NO REACTOR, -1, 1, -1000152745, 0, -1000032896, NO TRIGGER, 0, 0, 802, 0
Sending TIMESTAMP, NO REACTOR, -1, 1, 0, 0, -999905155, NO TRIGGER, 0, 0, 835, 1
Receiving NET, NO REACTOR, -1, 1, 0, 0, -999746543, NO TRIGGER, 0, 0, 543, 1
Sending PTAG, NO REACTOR, -1, 1, 0, 0, -999718467, NO TRIGGER, 0, 0, 237, 0
Sending TAGGED_MSG, NO REACTOR, -1, 1, 0, 0, -999658333, NO TRIGGER, 0, 0, 479, 0
Sending TAGGED_MSG, NO REACTOR, -1, 1, 0, 0, -999622224, NO TRIGGER, 0, 0, 479, 1
Sending TAGGED_MSG, NO REACTOR, -1, 1, 0, 0, -999604554, NO TRIGGER, 0, 0, 479, 2
Sending TAGGED_MSG, NO REACTOR, -1, 1, 0, 0, -999588840, NO TRIGGER, 0, 0, 479, 3
Sending TAG, NO REACTOR, -1, 1, 0, 0, -999573544, NO TRIGGER, 0, 0, 198, 0
Sending TAGGED_MSG, NO REACTOR, -1, 1, 100000000, 0, -999540858, NO TRIGGER, 0, 0, 479, 4
Sending TAGGED_MSG, NO REACTOR, -1, 1, 100000000, 0, -999507194, NO TRIGGER, 0, 0, 479, 5
Sending TAGGED_MSG, NO REACTOR, -1, 1, 100000000, 0, -999485683, NO TRIGGER, 0, 0, 479, 6
Sending TAGGED_MSG, NO REACTOR, -1, 1, 100000000, 0, -999467524, NO TRIGGER, 0, 0, 479, 7
Receiving LTC, NO REACTOR, -1, 1, 0, 0, -999458514, NO TRIGGER, 0, 0, 517, 1
Sending TAG, NO REACTOR, -1, 1, 100000000, 0, -999438400, NO TRIGGER, 0, 0, 198, 1
Receiving NET, NO REACTOR, -1, 1, 1000000000, 0, -999402152, NO TRIGGER, 0, 0, 543, 4
Sending TAGGED_MSG, NO REACTOR, -1, 1, 200000000, 0, -999398450, NO TRIGGER, 0, 0, 479, 8
Receiving NET, NO REACTOR, -1, 1, 100000000, 0, -999371631, NO TRIGGER, 0, 0, 543, 5
Receiving NET, NO REACTOR, -1, 1, 100000000, 0, -999356964, NO TRIGGER, 0, 0, 543, 6
Receiving NET, NO REACTOR, -1, 1, 100000000, 0, -999349840, NO TRIGGER, 0, 0, 543, 7
Sending TAGGED_MSG, NO REACTOR, -1, 1, 200000000, 0, -999344462, NO TRIGGER, 0, 0, 479, 9
Sending TAGGED_MSG, NO REACTOR, -1, 1, 200000000, 0, -999322602, NO TRIGGER, 0, 0, 479, 10
Sending TAGGED_MSG, NO REACTOR, -1, 1, 200000000, 0, -999298366, NO TRIGGER, 0, 0, 479, 11
Sending TAG, NO REACTOR, -1, 1, 200000000, 0, -999280557, NO TRIGGER, 0, 0, 198, 2
Receiving NET, NO REACTOR, -1, 1, 100000000, 0, -999263585, NO TRIGGER, 0, 0, 543, 8
Receiving LTC, NO REACTOR, -1, 1, 100000000, 0, -999255553, NO TRIGGER, 0, 0, 517, 4
Receiving NET, NO REACTOR, -1, 1, 1000000000, 0, -999238302, NO TRIGGER, 0, 0, 543, 10
Sending TAGGED_MSG, NO REACTOR, -1, 1, 300000000, 0, -999227826, NO TRIGGER, 0, 0, 479, 12
Sending TAGGED_MSG, NO REACTOR, -1, 1, 300000000, 0, -999206314, NO TRIGGER, 0, 0, 479, 13
Receiving NET, NO REACTOR, -1, 1, 200000000, 0, -999189273, NO TRIGGER, 0, 0, 543, 11
Sending TAGGED_MSG, NO REACTOR, -1, 1, 300000000, 0, -999183965, NO TRIGGER, 0, 0, 479, 14
Receiving NET, NO REACTOR, -1, 1, 200000000, 0, -999158263, NO TRIGGER, 0, 0, 543, 12
Receiving NET, NO REACTOR, -1, 1, 200000000, 0, -999151977, NO TRIGGER, 0, 0, 543, 13
Sending TAGGED_MSG, NO REACTOR, -1, 1, 300000000, 0, -999148136, NO TRIGGER, 0, 0, 479, 15
Sending TAG, NO REACTOR, -1, 1, 300000000, 0, -999125367, NO TRIGGER, 0, 0, 198, 3
Sending TAGGED_MSG, NO REACTOR, -1, 1, 400000000, 0, -999098199, NO TRIGGER, 0, 0, 479, 16
Receiving LTC, NO REACTOR, -1, 1, 200000000, 0, -999091424, NO TRIGGER, 0, 0, 517, 6
Receiving NET, NO REACTOR, -1, 1, 300000000, 0, -999071030, NO TRIGGER, 0, 0, 543, 15
Sending TAGGED_MSG, NO REACTOR, -1, 1, 400000000, 0, -999058040, NO TRIGGER, 0, 0, 479, 17
Sending TAGGED_MSG, NO REACTOR, -1, 1, 400000000, 0, -999038135, NO TRIGGER, 0, 0, 479, 18
Sending TAGGED_MSG, NO REACTOR, -1, 1, 400000000, 0, -999020255, NO TRIGGER, 0, 0, 479, 19
Sending TAG, NO REACTOR, -1, 1, 400000000, 0, -999005239, NO TRIGGER, 0, 0, 198, 4
Sending TAGGED_MSG, NO REACTOR, -1, 1, 500000000, 0, -998984775, NO TRIGGER, 0, 0, 479, 20
Sending TAGGED_MSG, NO REACTOR, -1, 1, 500000000, 0, -998968851, NO TRIGGER, 0, 0, 479, 21
Sending TAGGED_MSG, NO REACTOR, -1, 1, 500000000, 0, -998952019, NO TRIGGER, 0, 0, 479, 22
Sending TAGGED_MSG, NO REACTOR, -1, 1, 500000000, 0, -998934978, NO TRIGGER, 0, 0, 479, 23
Sending TAG, NO REACTOR, -1, 1, 500000000, 0, -998919124, NO TRIGGER, 0, 0, 198, 5
Sending TAGGED_MSG, NO REACTOR, -1, 1, 600000000, 0, -998896285, NO TRIGGER, 0, 0, 479, 24
Sending TAGGED_MSG, NO REACTOR, -1, 1, 600000000, 0, -998879593, NO TRIGGER, 0, 0, 479, 25
Sending TAGGED_MSG, NO REACTOR, -1, 1, 600000000, 0, -998857593, NO TRIGGER, 0, 0, 479, 26
Sending TAGGED_MSG, NO REACTOR, -1, 1, 600000000, 0, -998839573, NO TRIGGER, 0, 0, 479, 27
Sending TAG, NO REACTOR, -1, 1, 600000000, 0, -998817643, NO TRIGGER, 0, 0, 198, 6
Receiving LTC, NO REACTOR, -1, 1, 300000000, 0, -998799903, NO TRIGGER, 0, 0, 517, 10
Sending TAGGED_MSG, NO REACTOR, -1, 1, 700000000, 0, -998793198, NO TRIGGER, 0, 0, 479, 28
Receiving NET, NO REACTOR, -1, 1, 400000000, 0, -998771827, NO TRIGGER, 0, 0, 543, 19
Sending TAGGED_MSG, NO REACTOR, -1, 1, 700000000, 0, -998759814, NO TRIGGER, 0, 0, 479, 29
Sending TAGGED_MSG, NO REACTOR, -1, 1, 700000000, 0, -998742912, NO TRIGGER, 0, 0, 479, 30
Receiving LTC, NO REACTOR, -1, 1, 400000000, 0, -998740048, NO TRIGGER, 0, 0, 517, 11
Sending TAGGED_MSG, NO REACTOR, -1, 1, 700000000, 0, -998721610, NO TRIGGER, 0, 0, 479, 31
Sending TAG, NO REACTOR, -1, 1, 700000000, 0, -998700169, NO TRIGGER, 0, 0, 198, 7
Receiving NET, NO REACTOR, -1, 1, 1000000000, 0, -998682568, NO TRIGGER, 0, 0, 543, 21
Sending TAGGED_MSG, NO REACTOR, -1, 1, 800000000, 0, -998677330, NO TRIGGER, 0, 0, 479, 32
Receiving NET, NO REACTOR, -1, 1, 500000000, 0, -998658682, NO TRIGGER, 0, 0, 543, 22
Sending TAGGED_MSG, NO REACTOR, -1, 1, 800000000, 0, -998647787, NO TRIGGER, 0, 0, 479, 33
Sending TAGGED_MSG, NO REACTOR, -1, 1, 800000000, 0, -998629139, NO TRIGGER, 0, 0, 479, 34
Sending TAGGED_MSG, NO REACTOR, -1, 1, 800000000, 0, -998612447, NO TRIGGER, 0, 0, 479, 35
Sending TAG, NO REACTOR, -1, 1, 800000000, 0, -998598548, NO TRIGGER, 0, 0, 198, 8
Receiving NET, NO REACTOR, -1, 1, 500000000, 0, -998576129, NO TRIGGER, 0, 0, 543, 24
Sending TAGGED_MSG, NO REACTOR, -1, 1, 900000000, 0, -998570891, NO TRIGGER, 0, 0, 479, 36
Sending TAGGED_MSG, NO REACTOR, -1, 1, 900000000, 0, -998549519, NO TRIGGER, 0, 0, 479, 37
Receiving NET, NO REACTOR, -1, 1, 500000000, 0, -998527170, NO TRIGGER, 0, 0, 543, 25
Receiving LTC, NO REACTOR, -1, 1, 500000000, 0, -998518509, NO TRIGGER, 0, 0, 517, 14
Sending TAGGED_MSG, NO REACTOR, -1, 1, 900000000, 0, -998511735, NO TRIGGER, 0, 0, 479, 38
Sending TAGGED_MSG, NO REACTOR, -1, 1, 900000000, 0, -998491899, NO TRIGGER, 0, 0, 479, 39
Sending TAG, NO REACTOR, -1, 1, 900000000, 0, -998477093, NO TRIGGER, 0, 0, 198, 9
Receiving NET, NO REACTOR, -1, 1, 1000000000, 0, -998463055, NO TRIGGER, 0, 0, 543, 27
Sending TAGGED_MSG, NO REACTOR, -1, 1, 1000000000, 0, -998457817, NO TRIGGER, 0, 0, 479, 40
Receiving NET, NO REACTOR, -1, 1, 600000000, 0, -998434419, NO TRIGGER, 0, 0, 543, 28
Receiving NET, NO REACTOR, -1, 1, 600000000, 0, -998429251, NO TRIGGER, 0, 0, 543, 29
Receiving NET, NO REACTOR, -1, 1, 600000000, 0, -998422616, NO TRIGGER, 0, 0, 543, 30
Sending TAGGED_MSG, NO REACTOR, -1, 1, 1000000000, 0, -998415841, NO TRIGGER, 0, 0, 479, 41
Sending TAGGED_MSG, NO REACTOR, -1, 1, 1000000000, 0, -998399638, NO TRIGGER, 0, 0, 479, 42
Sending TAGGED_MSG, NO REACTOR, -1, 1, 1000000000, 0, -998380012, NO TRIGGER, 0, 0, 479, 43
Receiving LTC, NO REACTOR, -1, 1, 600000000, 0, -998375752, NO TRIGGER, 0, 0, 517, 16
Sending TAG, NO REACTOR, -1, 1, 1000000000, 0, -998357244, NO TRIGGER, 0, 0, 198, 10
Sending TAG, NO REACTOR, -1, 1, 7521111123160206922, -1, -998301859, NO TRIGGER, 0, 0, 198, 11
Receiving NET, NO REACTOR, -1, 1, 1000000000, 0, -998279859, NO TRIGGER, 0, 0, 543, 32
Receiving NET, NO REACTOR, -1, 1, 700000000, 0, -998272386, NO TRIGGER, 0, 0, 543, 33
Receiving NET, NO REACTOR, -1, 1, 700000000, 0, -998261840, NO TRIGGER, 0, 0, 543, 34
