Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Receiving FED_ID, NO REACTOR, -1, 1, -1702260913717366259, 0, -1000051963, NO TRIGGER, 0, 0, 1173, 2
Sending ACK, NO REACTOR, -1, 1, -1702260913717366259, 0, -1000050077, NO TRIGGER, 0, 0, 1238, 2
Receiving TIMESTAMP, NO REACTOR, -1, 1, -1000000000, 0, -999945663, NO TRIGGER, 0, 0, 802, 2
Sending TIMESTAMP, NO REACTOR, -1, 1, 0, 0, -999940914, NO TRIGGER, 0, 0, 835, 0
Receiving NET, NO REACTOR, -1, 1, 0, 0, -999811287, NO TRIGGER, 0, 0, 543, 0
Sending PTAG, NO REACTOR, -1, 1, 0, 0, -999710086, NO TRIGGER, 0, 0, 237, 2
Receiving PORT_ABS, NO REACTOR, -1, 1, 0, 0, -999639475, NO TRIGGER, 0, 0, 311, 0
Receiving LTC, NO REACTOR, -1, 1, 0, 0, -999596592, NO TRIGGER, 0, 0, 517, 0
Receiving NET, NO REACTOR, -1, 1, 0, 1, -999523677, NO TRIGGER, 0, 0, 543, 3
Receiving TAGGED_MSG, NO REACTOR, -1, 1, 0, 1, -999499302, NO TRIGGER, 0, 0, 402, 1
Receiving LTC, NO REACTOR, -1, 1, 0, 1, -999480584, NO TRIGGER, 0, 0, 517, 2
Receiving NET, NO REACTOR, -1, 1, 900000000, 0, -999461657, NO TRIGGER, 0, 0, 543, 5
Receiving PORT_ABS, NO REACTOR, -1, 1, 900000000, 0, -999451530, NO TRIGGER, 0, 0, 311, 1
Receiving LTC, NO REACTOR, -1, 1, 900000000, 0, -999421009, NO TRIGGER, 0, 0, 517, 4
Receiving NET, NO REACTOR, -1, 1, 7521111123137409548, -1, -999262118, NO TRIGGER, 0, 0, 543, 10
Receiving FED_ID, NO REACTOR, -1, 2, -1702260913717366259, 0, -1000261489, NO TRIGGER, 0, 0, 1173, 0
