Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Sending FED_ID, NO REACTOR, 0, -1, -1702260913102401974, 0, -1000592331, NO TRIGGER, 0, 0, 1114, 0
Receiving ACK, NO REACTOR, 0, -1, -1702260913102401974, 0, -1000496228, NO TRIGGER, 0, 0, 1148, 0
Sending TIMESTAMP, NO REACTOR, 0, -1, -1000471504, 0, -1000470037, NO TRIGGER, 0, 0, 471, 0
Receiving TIMESTAMP, NO REACTOR, 0, -1, 0, 0, -999861293, NO TRIGGER, 0, 0, 1206, 0
Sending NET, NO REACTOR, 0, -1, 0, 0, -999823020, NO TRIGGER, 0, 0, 522, 0
Receiving PTAG, NO REACTOR, 0, -1, 0, 0, -999746193, NO TRIGGER, 0, 0, 2100, 0
Receiving PORT_ABS, NO REACTOR, 0, -1, 0, 0, -999581296, NO TRIGGER, 0, 0, 1605, 0
Sending TAGGED_MSG, NO REACTOR, 0, -1, 0, 0, -999568236, NO TRIGGER, 0, 0, 435, 0
Sending LTC, NO REACTOR, 0, -1, 0, 0, -999542185, NO TRIGGER, 0, 0, 522, 1
Sending NET, NO REACTOR, 0, -1, 1000000000, 0, -999533454, NO TRIGGER, 0, 0, 522, 2
Receiving PTAG, NO REACTOR, 0, -1, 1000000000, 0, -999331052, NO TRIGGER, 0, 0, 2100, 1
Receiving PORT_ABS, NO REACTOR, 0, -1, 1000000000, 0, -999272734, NO TRIGGER, 0, 0, 1605, 1
Sending PORT_ABS, NO REACTOR, 0, -1, 1000000000, 0, -999263375, NO TRIGGER, 0, 0, 1440, 0
Sending LTC, NO REACTOR, 0, -1, 1000000000, 0, -999248638, NO TRIGGER, 0, 0, 522, 3
Sending NET, NO REACTOR, 0, -1, 7521111123752373833, -1, -999240117, NO TRIGGER, 0, 0, 522, 4
