Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Receiving FED_ID, NO REACTOR, -1, 1, -1702002731848574664, 0, -1000030543, NO TRIGGER, 0, 0, 1173, 3
Sending ACK, NO REACTOR, -1, 1, -1702002731848574664, 0, -1000029523, NO TRIGGER, 0, 0, 1238, 3
Receiving TIMESTAMP, NO REACTOR, -1, 1, -1000000000, 0, -999890202, NO TRIGGER, 0, 0, 802, 3
Sending TIMESTAMP, NO REACTOR, -1, 1, 0, 0, -999876369, NO TRIGGER, 0, 0, 835, 0
Sending PTAG, NO REACTOR, -1, 1, 0, 0, -999648118, NO TRIGGER, 0, 0, 237, 3
Receiving NET, NO REACTOR, -1, 1, 0, 0, -999507567, NO TRIGGER, 0, 0, 543, 3
Sending TAGGED_MSG, NO REACTOR, -1, 1, 0, 0, -999450949, NO TRIGGER, 0, 0, 479, 0
Sending TAGGED_MSG, NO REACTOR, -1, 1, 0, 0, -999362468, NO TRIGGER, 0, 0, 479, 3
Sending TAGGED_MSG, NO REACTOR, -1, 1, 0, 0, -999316154, NO TRIGGER, 0, 0, 479, 4
Receiving TAGGED_MSG, NO REACTOR, -1, 1, 0, 0, -999225225, NO TRIGGER, 0, 0, 402, 6
Receiving LTC, NO REACTOR, -1, 1, 0, 0, -999164959, NO TRIGGER, 0, 0, 517, 0
Receiving NET, NO REACTOR, -1, 1, 7521369305006201143, -1, -999101855, NO TRIGGER, 0, 0, 543, 4
Sending STOP_REQ, NO REACTOR, -1, 1, 0, 1, -999087413, NO TRIGGER, 0, 0, 682, 0
Sending STOP_REQ, NO REACTOR, -1, 1, 0, 1, -999075480, NO TRIGGER, 0, 0, 687, 0
Receiving STOP_REQ_REP, NO REACTOR, -1, 1, 0, 1, -999044507, NO TRIGGER, 0, 0, 706, 0
Sending STOP_GRN, NO REACTOR, -1, 1, 0, 1, -999005079, NO TRIGGER, 0, 0, 590, 1
Receiving NET, NO REACTOR, -1, 1, 0, 1, -998969569, NO TRIGGER, 0, 0, 543, 8
Sending PTAG, NO REACTOR, -1, 1, 0, 1, -998931431, NO TRIGGER, 0, 0, 237, 6
Sending PORT_ABS, NO REACTOR, -1, 1, 0, 1, -998854744, NO TRIGGER, 0, 0, 356, 1
Sending PORT_ABS, NO REACTOR, -1, 1, 0, 1, -998818264, NO TRIGGER, 0, 0, 356, 3
Sending PORT_ABS, NO REACTOR, -1, 1, 0, 1, -998781675, NO TRIGGER, 0, 0, 356, 5
Receiving PORT_ABS, NO REACTOR, -1, 1, 0, 1, -998742747, NO TRIGGER, 0, 0, 311, 7
Receiving LTC, NO REACTOR, -1, 1, 0, 1, -998700660, NO TRIGGER, 0, 0, 517, 5
Sending TAG, NO REACTOR, -1, 1, 0, 1, -998667329, NO TRIGGER, 0, 0, 198, 4
Sending TAG, NO REACTOR, -1, 1, 7521369305006201143, -1, -998180013, NO TRIGGER, 0, 0, 198, 7
Receiving NET, NO REACTOR, -1, 1, 7521369305006201143, -1, -998149800, NO TRIGGER, 0, 0, 543, 15
Receiving FED_ID, NO REACTOR, -1, 2, -1702002731848574664, 0, -1000467787, NO TRIGGER, 0, 0, 1173, 0
Sending ACK, NO REACTOR, -1, 2, -1702002731848574664, 0, -1000463349, NO TRIGGER, 0, 0, 1238, 0
