Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Receiving FED_ID, NO REACTOR, -1, 1, -1702002732630521520, 0, -1000734891, NO TRIGGER, 0, 0, 1173, 0
Sending ACK, NO REACTOR, -1, 1, -1702002732630521520, 0, -1000732472, NO TRIGGER, 0, 0, 1238, 0
Receiving TIMESTAMP, NO REACTOR, -1, 1, -1000677499, 0, -1000582106, NO TRIGGER, 0, 0, 802, 0
Sending TIMESTAMP, NO REACTOR, -1, 1, 0, 0, -999903108, NO TRIGGER, 0, 0, 835, 1
Sending PTAG, NO REACTOR, -1, 1, 0, 0, -999700897, NO TRIGGER, 0, 0, 237, 2
Receiving NET, NO REACTOR, -1, 1, 0, 0, -999673480, NO TRIGGER, 0, 0, 543, 1
Receiving TAGGED_MSG, NO REACTOR, -1, 1, 0, 0, -999613009, NO TRIGGER, 0, 0, 402, 0
Receiving LTC, NO REACTOR, -1, 1, 0, 0, -999582444, NO TRIGGER, 0, 0, 517, 0
Receiving NET, NO REACTOR, -1, 1, 1000000000, 0, -999578256, NO TRIGGER, 0, 0, 543, 2
Receiving TAGGED_MSG, NO REACTOR, -1, 1, 1000000000, 0, -999574508, NO TRIGGER, 0, 0, 402, 1
Receiving LTC, NO REACTOR, -1, 1, 1000000000, 0, -999479285, NO TRIGGER, 0, 0, 517, 1
Receiving NET, NO REACTOR, -1, 1, 2000000000, 0, -999440804, NO TRIGGER, 0, 0, 543, 4
Receiving TAGGED_MSG, NO REACTOR, -1, 1, 2000000000, 0, -999422213, NO TRIGGER, 0, 0, 402, 3
Receiving LTC, NO REACTOR, -1, 1, 2000000000, 0, -999405681, NO TRIGGER, 0, 0, 517, 3
Receiving NET, NO REACTOR, -1, 1, 7521369304224254287, -1, -999403382, NO TRIGGER, 0, 0, 543, 5
Receiving FED_ID, NO REACTOR, -1, 2, -1702002732630521520, 0, -1000170847, NO TRIGGER, 0, 0, 1173, 1
Sending ACK, NO REACTOR, -1, 2, -1702002732630521520, 0, -1000167858, NO TRIGGER, 0, 0, 1238, 1
Receiving TIMESTAMP, NO REACTOR, -1, 2, -1000130077, 0, -1000031035, NO TRIGGER, 0, 0, 802, 1
Sending TIMESTAMP, NO REACTOR, -1, 2, 0, 0, -999901199, NO TRIGGER, 0, 0, 835, 2
Receiving NET, NO REACTOR, -1, 2, 0, 0, -999789073, NO TRIGGER, 0, 0, 543, 0
Sending PTAG, NO REACTOR, -1, 2, 0, 0, -999737539, NO TRIGGER, 0, 0, 237, 0
Sending TAGGED_MSG, NO REACTOR, -1, 2, 0, 0, -999610601, NO TRIGGER, 0, 0, 479, 0
Sending TAGGED_MSG, NO REACTOR, -1, 2, 1000000000, 0, -999502434, NO TRIGGER, 0, 0, 479, 1
Sending TAGGED_MSG, NO REACTOR, -1, 2, 0, 0, -999474727, NO TRIGGER, 0, 0, 479, 2
Sending TAG, NO REACTOR, -1, 2, 0, 0, -999435776, NO TRIGGER, 0, 0, 198, 0
Sending TAGGED_MSG, NO REACTOR, -1, 2, 2000000000, 0, -999415706, NO TRIGGER, 0, 0, 479, 3
Receiving LTC, NO REACTOR, -1, 2, 0, 0, -999389009, NO TRIGGER, 0, 0, 517, 4
Sending TAGGED_MSG, NO REACTOR, -1, 2, 1000000000, 0, -999362652, NO TRIGGER, 0, 0, 479, 4
Sending TAG, NO REACTOR, -1, 2, 1000000000, 0, -999335665, NO TRIGGER, 0, 0, 198, 1
Sending TAGGED_MSG, NO REACTOR, -1, 2, 2000000000, 0, -999309158, NO TRIGGER, 0, 0, 479, 5
Sending TAG, NO REACTOR, -1, 2, 2000000000, 0, -999296754, NO TRIGGER, 0, 0, 198, 2
Sending TAG, NO REACTOR, -1, 2, 7521369304224254287, -1, -999268438, NO TRIGGER, 0, 0, 198, 3
Receiving NET, NO REACTOR, -1, 2, 1000000000, 0, -999252236, NO TRIGGER, 0, 0, 543, 9
Receiving LTC, NO REACTOR, -1, 2, 1000000000, 0, -998957440, NO TRIGGER, 0, 0, 517, 7
Receiving LTC, NO REACTOR, -1, 2, 2000000000, 0, -998936030, NO TRIGGER, 0, 0, 517, 8
Receiving FED_ID, NO REACTOR, -1, 0, -1702002732630521520, 0, -1000037172, NO TRIGGER, 0, 0, 1173, 2
Sending ACK, NO REACTOR, -1, 0, -1702002732630521520, 0, -1000033944, NO TRIGGER, 0, 0, 1238, 2
Receiving TIMESTAMP, NO REACTOR, -1, 0, -1000000000, 0, -999914092, NO TRIGGER, 0, 0, 802, 2
Sending TIMESTAMP, NO REACTOR, -1, 0, 0, 0, -999909525, NO TRIGGER, 0, 0, 835, 0
Sending PTAG, NO REACTOR, -1, 0, 0, 0, -999720167, NO TRIGGER, 0, 0, 237, 1
Receiving NET, NO REACTOR, -1, 0, 0, 0, -999570980, NO TRIGGER, 0, 0, 543, 3
Receiving TAGGED_MSG, NO REACTOR, -1, 0, 0, 0, -999493748, NO TRIGGER, 0, 0, 402, 2
Receiving LTC, NO REACTOR, -1, 0, 0, 0, -999437485, NO TRIGGER, 0, 0, 517, 2
Receiving NET, NO REACTOR, -1, 0, 1000000000, 0, -999371777, NO TRIGGER, 0, 0, 543, 6
Receiving TAGGED_MSG, NO REACTOR, -1, 0, 1000000000, 0, -999363152, NO TRIGGER, 0, 0, 402, 4
Receiving LTC, NO REACTOR, -1, 0, 1000000000, 0, -999336125, NO TRIGGER, 0, 0, 517, 5
Receiving NET, NO REACTOR, -1, 0, 2000000000, 0, -999325570, NO TRIGGER, 0, 0, 543, 7
Receiving TAGGED_MSG, NO REACTOR, -1, 0, 2000000000, 0, -999310147, NO TRIGGER, 0, 0, 402, 5
Receiving LTC, NO REACTOR, -1, 0, 2000000000, 0, -999297384, NO TRIGGER, 0, 0, 517, 6
Receiving NET, NO REACTOR, -1, 0, 7521369304224254287, -1, -999286669, NO TRIGGER, 0, 0, 543, 8
